School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
New Town Primary School,2009,1,270,63,63,,0.23333333333333334
Ngee Ann Primary School,2009,1,240,81,81,,0.3375
North Spring Primary School,2009,1,240,73,73,,0.30416666666666664
North View Primary School,2009,1,180,45,45,,0.25
North Vista Primary School,2009,1,270,50,50,,0.18518518518518517
Northland Primary School,2009,1,270,104,104,,0.3851851851851852
Opera Estate Primary School,2009,1,180,41,41,,0.22777777777777777
Park View Primary School,2009,1,180,60,60,,0.3333333333333333
Pasir Ris Primary School,2009,1,210,98,98,,0.4666666666666667
Paya Lebar Methodist Girls' School (Primary),2009,1,270,72,72,,0.26666666666666666
Pei Chun Public School,2009,1,360,141,141,,0.39166666666666666
Pei Hwa Presbyterian Primary School,2009,1,360,147,147,,0.4083333333333333
Pei Tong Primary School,2009,1,240,41,41,,0.17083333333333334
Peiying Primary School,2009,1,180,63,63,,0.35
Pioneer Primary School,2009,1,270,102,102,,0.37777777777777777
Poi Ching School,2009,1,270,120,120,,0.4444444444444444
Princess Elizabeth Primary School,2009,1,240,97,97,,0.4041666666666667
Punggol Primary School,2009,1,240,97,97,,0.4041666666666667
Qifa Primary School,2009,1,210,66,66,,0.3142857142857143
Qihua Primary School,2009,1,300,106,106,,0.35333333333333333
Queenstown Primary School,2009,1,210,74,74,,0.3523809523809524
Radin Mas Primary School,2009,1,240,119,119,,0.49583333333333335
Raffles Girls' Primary School,2009,1,300,84,84,,0.28
Red Swastika School,2009,1,270,129,129,,0.4777777777777778
River Valley Primary School,2009,1,240,88,88,,0.36666666666666664
Rivervale Primary School,2009,1,210,116,116,,0.5523809523809524
Rosyth School,2009,1,330,132,132,,0.4
Rulang Primary School,2009,1,300,116,116,,0.38666666666666666
Sembawang Primary School,2009,1,240,77,77,,0.32083333333333336
Seng Kang Primary School,2009,1,240,96,96,,0.4
Shuqun Primary School,2009,1,300,114,114,,0.38
Si Ling Primary School,2009,1,270,88,88,,0.32592592592592595
Singapore Chinese Girls' Primary School,2009,1,200,49,49,,0.245
South View Primary School,2009,1,330,160,160,,0.48484848484848486
St. Andrew's Junior School,2009,1,240,55,55,,0.22916666666666666
St. Anthony's Canossian Primary School,2009,1,240,48,48,,0.2
St. Anthony's Primary School,2009,1,270,112,112,,0.4148148148148148
St. Gabriel's Primary School,2009,1,180,32,32,,0.17777777777777778
St. Hilda's Primary School,2009,1,300,154,154,,0.5133333333333333
St. Joseph's Institution Junior,2009,1,240,63,63,,0.2625
St. Margaret's Primary School,2009,1,210,36,36,,0.17142857142857143
St. Stephen's School,2009,1,210,42,42,,0.2
Stamford Primary School,2009,1,180,41,41,,0.22777777777777777
Tampines North Primary School,2009,1,240,98,98,,0.4083333333333333
Tampines Primary School,2009,1,210,63,63,,0.3
Tanjong Katong Primary School,2009,1,300,104,104,,0.3466666666666667
Tao Nan School,2009,1,360,147,147,,0.4083333333333333
Teck Ghee Primary School,2009,1,180,72,72,,0.4
Teck Whye Primary School,2009,1,240,65,65,,0.2708333333333333
Telok Kurau Primary School,2009,1,240,120,120,,0.5
Temasek Primary School,2009,1,270,116,116,,0.42962962962962964
Townsville Primary School,2009,1,240,70,70,,0.2916666666666667
Unity Primary School,2009,1,210,133,133,,0.6333333333333333
Wellington Primary School,2009,1,240,99,99,,0.4125
West Grove Primary School,2009,1,300,122,122,,0.4066666666666667
West View Primary School,2009,1,240,60,60,,0.25
White Sands Primary School,2009,1,180,87,87,,0.48333333333333334
Woodgrove Primary School,2009,1,270,131,131,,0.48518518518518516
Woodlands Primary School,2009,1,300,152,152,,0.5066666666666667
Woodlands Ring Primary School,2009,1,240,114,114,,0.475
Xinghua Primary School,2009,1,210,87,87,,0.4142857142857143
Xingnan Primary School,2009,1,270,96,96,,0.35555555555555557
Xinmin Primary School,2009,1,210,115,115,,0.5476190476190477
Xishan Primary School,2009,1,180,61,61,,0.3388888888888889
Yangzheng Primary School,2009,1,210,85,85,,0.40476190476190477
Yew Tee Primary School,2009,1,270,135,135,,0.5
Yio Chu Kang Primary School,2009,1,180,55,55,,0.3055555555555556
Yishun Primary School,2009,1,210,89,89,,0.4238095238095238
Yu Neng Primary School,2009,1,210,103,103,,0.49047619047619045
Yuhua Primary School,2009,1,270,82,82,,0.3037037037037037
Yumin Primary School,2009,1,180,63,63,,0.35
Zhangde Primary School,2009,1,240,99,99,,0.4125
Zhenghua Primary School,2009,1,270,111,111,,0.4111111111111111
Zhonghua Primary School,2009,1,180,40,40,,0.2222222222222222
Admiralty Primary School,2010,1,270,132,132,,0.4888888888888889
Ahmad Ibrahim Primary School,2010,1,180,52,52,,0.28888888888888886
Ai Tong School,2010,1,330,149,149,,0.45151515151515154
Anchor Green Primary School,2010,1,270,81,81,,0.3
Anderson Primary School,2010,1,210,90,90,,0.42857142857142855
Ang Mo Kio Primary School,2010,1,210,90,90,,0.42857142857142855
Anglo-Chinese School (Junior),2010,1,270,77,77,,0.2851851851851852
Anglo-Chinese School (Primary),2010,1,240,55,55,,0.22916666666666666
Angsana Primary School,2010,1,180,44,44,,0.24444444444444444
Beacon Primary School,2010,1,240,60,60,,0.25
Bedok Green Primary School,2010,1,210,66,66,,0.3142857142857143
Bendemeer Primary School,2010,1,150,47,47,,0.31333333333333335
Blangah Rise Primary School,2010,1,210,48,48,,0.22857142857142856
Boon Lay Garden Primary School,2010,1,300,98,98,,0.32666666666666666
Bukit Panjang Primary School,2010,1,270,120,120,,0.4444444444444444
Bukit Timah Primary School,2010,1,180,51,51,,0.2833333333333333
Bukit View Primary School,2010,1,210,55,55,,0.2619047619047619
Canberra Primary School,2010,1,270,117,117,,0.43333333333333335
Canossa Catholic Primary School,2010,1,120,17,17,,0.14166666666666666
Cantonment Primary School,2010,1,210,0,0,,0.0
Casuarina Primary School,2010,1,180,51,51,,0.2833333333333333
Catholic High School (Primary),2010,1,210,79,79,,0.3761904761904762
Cedar Primary School,2010,1,120,37,37,,0.30833333333333335
Changkat Primary School,2010,1,180,72,72,,0.4
CHIJ (Katong) Primary,2010,1,240,47,47,,0.19583333333333333
CHIJ (Kellock),2010,1,200,39,39,,0.195
CHIJ Our Lady of Good Counsel,2010,1,150,24,24,,0.16
CHIJ Our Lady of the Nativity,2010,1,240,40,40,,0.16666666666666666
CHIJ Our Lady Queen of Peace,2010,1,180,36,36,,0.2
CHIJ Primary (Toa Payoh),2010,1,210,49,49,,0.23333333333333334
CHIJ St. Nicholas Girls' School,2010,1,210,71,71,,0.3380952380952381
Chongfu School,2010,1,300,118,118,,0.3933333333333333
Chongzheng Primary School,2010,1,180,84,84,,0.4666666666666667
Chua Chu Kang Primary School,2010,1,270,106,106,,0.3925925925925926
Clementi Primary School,2010,1,240,108,108,,0.45
Compassvale Primary School,2010,1,210,99,99,,0.4714285714285714
Concord Primary School,2010,1,210,94,94,,0.44761904761904764
Corporation Primary School,2010,1,300,66,66,,0.22
Damai Primary School,2010,1,180,25,25,,0.1388888888888889
Dazhong Primary School,2010,1,150,21,21,,0.14
De La Salle School,2010,1,270,111,111,,0.4111111111111111
East Spring Primary School,2010,1,180,79,79,,0.4388888888888889
Edgefield Primary School,2010,1,240,72,72,,0.3
Elias Park Primary School,2010,1,180,67,67,,0.37222222222222223
Endeavour Primary School,2010,1,270,110,110,,0.4074074074074074
Eunos Primary School,2010,1,180,53,53,,0.29444444444444445
Evergreen Primary School,2010,1,240,104,104,,0.43333333333333335
Fairfield Methodist School (Primary),2010,1,270,97,97,,0.3592592592592593
Farrer Park Primary School,2010,1,180,25,25,,0.1388888888888889
Fengshan Primary School,2010,1,210,104,104,,0.49523809523809526
Fernvale Primary School,2010,1,270,49,49,,0.1814814814814815
First Toa Payoh Primary School,2010,1,210,31,31,,0.14761904761904762
Fuchun Primary School,2010,1,270,135,135,,0.5
Fuhua Primary School,2010,1,270,98,98,,0.362962962962963
Gan Eng Seng Primary School,2010,1,240,74,74,,0.30833333333333335
Geylang Methodist School (Primary),2010,1,270,98,98,,0.362962962962963
Gongshang Primary School,2010,1,240,129,129,,0.5375
Greendale Primary School,2010,1,240,63,63,,0.2625
